UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,,,,,,,,
Old Bexley and Sidcup,*,ERG Heath,Conservative,24450,60.34%,49449,15699,81.94%,Conservative Hold
,,Mrs D Brierly,Labour,8751,21.60%,,,,
,,DJ Nicolle,Liberal Democrat,6438,15.89%,,,,
,,B Rose,Independent Conservative,733,1.81%,,,,
,,RT Stephens,Natural Law,148,0.37%,,,,
,,,,,,,,,
Oldham Central and Royton,,B Davies,Labour,23246,51.08%,61360,8606,74.17%,Labour Hold
,,Mrs P Morris,Conservative,14640,32.17%,,,,
,,Mrs A Dunn,Liberal Democrat,7224,15.87%,,,,
,,ID Dalling,Natural Law,403,0.89%,,,,
,,,,,,,,,
Oldham West,*,MH Meacher,Labour,21580,52.76%,54075,8333,75.64%,Labour Hold
,,JM Gillen,Conservative,13247,32.39%,,,,
,,JD Smith,Liberal Democrat,5525,13.51%,,,,
,,Mrs SJ Dalling,Natural Law,551,1.35%,,,,
,,,,,,,,,
Orkney and Shetland,*,JR Wallace,Liberal Democrat,9575,46.42%,31472,5033,65.54%,Liberal Democrat Gain
,,PM McCormick,Conservative,4542,22.02%,,,,
,,JH Aberdein,Labour,4093,19.84%,,,,
,,Mrs FC McKie,Scottish National,2301,11.16%,,,,
,,Ms. CC Wharton,Natural Law,115,0.56%,,,,
,,,,,,,,,
Orpington,,JR Horam,Conservative,27421,57.18%,57352,12935,83.62%,Conservative Hold
,,CS Maines,Liberal Democrat,14486,30.21%,,,,
,,SJ Cowan,Labour,5512,11.49%,,,,
,,RD Almond,Liberal,539,1.12%,,,,
,,,,,,,,,
Oxford East,*,AD Smith,Labour,23702,50.37%,63078,7538,74.59%,Labour Hold
,,Dr. MNA Mayall,Conservative,16164,34.35%,,,,
,,MC Horwood,Liberal Democrat,6105,12.97%,,,,
,,Mrs C Lucas,Green,933,1.98%,,,,
,,Miss AM Wilson,Natural Law,101,0.21%,,,,
,,K Tompson,Revolutionary Communist,48,0.10%,,,,
,,,,,,,,,
Oxford West and Abingdon,*,JHC Patten,Conservative,25163,45.37%,72328,3539,76.69%,Conservative Hold
,,Sir WH Goodhart,Liberal Democrat,21624,38.99%,,,,
,,B Kent,Labour,7652,13.80%,,,,
,,ME Woodin,Green,660,1.19%,,,,
,,RE Jenking,Liberal,194,0.35%,,,,
,,Miss SB Nelson,Anti-Federalist League,98,0.18%,,,,
,,GA Wells,Natural Law,75,0.14%,,,,
,,,,,,,,,
Paisley North,*,Mrs K Adams,Labour,17269,50.69%,46424,9321,73.38%,Labour Hold
,,WAR Mullin,Scottish National,7948,23.33%,,,,
,,DJ Sharpe,Conservative,5576,16.37%,,,,
,,Miss EP McCartin,Liberal Democrat,2779,8.16%,,,,
,,DG Mellor,Green,412,1.21%,,,,
,,NM Brennan,Natural Law,81,0.24%,,,,
,,,,,,,,,
Paisley South,*,GJ McMaster,Labour/Co-operative,18202,50.67%,47919,9549,74.96%,Labour/Co-operative Gain
,,IM Lawson,Scottish National,8653,24.09%,,,,
,,Mrs SG Laidlaw,Conservative,5703,15.88%,,,,
,,A Reid,Liberal Democrat,3271,9.11%,,,,
,,SR Porter,Natural Law,93,0.26%,,,,
,,,,,,,,,
Peckham,*,Ms. HR Harman,Labour,19391,61.77%,58320,12005,53.83%,Labour Hold
,,CM Frazer,Conservative,7386,23.53%,,,,
,,Mrs RE Colley,Liberal Democrat,4331,13.80%,,,,
,,GC Dacres,Workers' Revolutionary,146,0.47%,,,,
,,VE Teh,Corrective,140,0.45%,,,,
,,,,,,,,,
Pembroke,,NR Ainger,Labour,26253,43.29%,73187,755,82.86%,Labour Gain
,*,NJ Bennett,Conservative,25498,42.04%,,,,
,,PG Sain Ley Berry,Liberal Democrat,6625,10.92%,,,,
,,CL Bryant,Plaid Cymru,1627,2.68%,,,,
,,RW Coghill,Green,484,0.80%,,,,
,,RM Stoddart,Anti-Federalist League,158,0.26%,,,,
,,,,,,,,,
Pendle,,G Prentice,Labour,23497,44.23%,64066,2113,82.91%,Labour Gain
,*,JRL Lee,Conservative,21384,40.26%,,,,
,,AP Davies,Liberal Democrat,7976,15.02%,,,,
,,Mrs VM Thome,Anti-Federalist League,263,0.50%,,,,
,,,,,,,,,
Penrith and The Border,*,DJ Maclean,Conservative,33808,57.52%,73770,18449,79.68%,Conservative Hold
,,KG Walker,Liberal Democrat,15359,26.13%,,,,
,,J Metcalfe,Labour,8871,15.09%,,,,
,,RA Gibson,Green,610,1.04%,,,,
,,I Docker,Natural Law,129,0.22%,,,,
,,,,,,,,,
Perth and Kinross,*,Sir NH Fairbairn,Conservative,20195,40.17%,65410,2094,76.86%,Conservative Hold
,,Miss R Cunningham,Scottish National,18101,36.00%,,,,
,,MJ Rolfe,Labour,6267,12.46%,,,,
,,M Black,Liberal Democrat,5714,11.37%,,,,
,,,,,,,,,
Peterborough,*,Dr. BS Mawhinney,Conservative,31827,48.34%,87639,5376,75.13%,Conservative Hold
,,Miss J Owens,Labour,26451,40.17%,,,,
,,Mrs AJ Taylor,Liberal Democrat,5208,7.91%,,,,
,,E Murat,Liberal,1557,2.36%,,,,
,,RLH Heaton,British National,311,0.47%,,,,
,,Mrs PI Beasley,Independent Liberal Democrat,271,0.41%,,,,
,,CR Brettell,Natural Law,215,0.33%,,,,
,,,,,,,,,
Plymouth Devonport,,DC Jamieson,Labour,24953,48.72%,65800,7412,77.84%,Labour Gain
,,KR Simpson,Conservative,17541,34.25%,,,,
,,M Mactaggart,Liberal Democrat,6315,12.33%,,,,
,,HM Luscombe,Independent Ind SD,2152,4.20%,,,,
,,FA Lyons,Natural Law,255,0.50%,,,,
,,,,,,,,,
Plymouth Drake,*,Dame JE Fookes,Conservative,17075,43.73%,51667,2013,75.56%,Conservative Hold
,,P Telford,Labour/Co-operative,15062,38.58%,,,,
,,Mrs VA Cox,Liberal Democrat,5893,15.09%,,,,
,,DM Stanbury,Independent Ind SD,476,1.22%,,,,
,,Mrs AE Harrison,Green,441,1.13%,,,,
,,TJ Pringle,Natural Law,95,0.24%,,,,
,,,,,,,,,
Plymouth Sutton,,GN Streeter,Conservative,27070,49.45%,67430,11950,81.18%,Conservative Hold
,,A Pawley,Labour,15120,27.62%,,,,
,,JP Brett-Freeman,Liberal Democrat,12291,22.45%,,,,
,,JJ Bowler,Natural Law,256,0.47%,,,,
,,,,,,,,,
Pontefract and Castleford,*,G Lofthouse,Labour,33546,69.88%,64655,23495,74.25%,Labour Hold
,,AGM Rockall,Conservative,10051,20.94%,,,,
,,DL Ryan,Liberal Democrat,4410,9.19%,,,,
,,,,,,,,,
Pontypridd,*,Dr. Kim Howells,Labour,29722,60.79%,61685,19797,79.26%,Labour Hold
,,PD Donnelly,Conservative,9925,20.30%,,,,
,,Prof. ID Bowen,Plaid Cymru,4448,9.10%,,,,
,,S Belzak,Liberal Democrat,4180,8.55%,,,,
,,Ms. EJ Jackson,Green,615,1.26%,,,,
,,,,,,,,,
Poole,*,JD Ward,Conservative,33445,53.18%,79223,12831,79.39%,Conservative Hold
,,BR Clements,Liberal Democrat,20614,32.78%,,,,
,,HR White,Labour,6912,10.99%,,,,
,,M Steen,Independent Conservative,1620,2.58%,,,,
,,AL Bailey,Natural Law,303,0.48%,,,,
,,,,,,,,,
Portsmouth North,*,PHS Griffiths,Conservative,32240,52.57%,79592,13881,77.05%,Conservative Hold
,,AD Burnett,Labour,18359,29.94%,,,,
,,AM Bentley,Liberal Democrat,10101,16.47%,,,,
,,Mrs H Palmer,Green,628,1.02%,,,,
,,,,,,,,,
Portsmouth South,*,DJP Martin,Conservative,22798,42.49%,77648,242,69.10%,Conservative Hold
,,MT Hancock,Liberal Democrat,22556,42.04%,,,,
,,SNJ Rapson,Labour,7857,14.64%,,,,
,,A Zivkovic,Green,349,0.65%,,,,
,,WA Trend,Natural Law,91,0.17%,,,,
,,,,,,,,,
Preston,*,Mrs A Wise,Labour,24983,54.28%,64159,12175,71.74%,Labour Hold
,,SG O'Toole,Conservative,12808,27.83%,,,,
,,WD Chadwick,Liberal Democrat,7897,17.16%,,,,
,,Mrs J Ayliffe,Natural Law,341,0.74%,,,,
,,,,,,,,,
Pudsey,*,Sir JGD Shaw,Conservative,25067,43.69%,70996,8372,80.82%,Conservative Hold
,,A Giles,Labour,16695,29.09%,,,,
,,DT Shutt,Liberal Democrat,15153,26.41%,,,,
,,Mrs JL Wynne,Green,466,0.81%,,,,
,,,,,,,,,
Putney,*,DJ Mellor,Conservative,25188,52.21%,61915,7526,77.92%,Conservative Hold
,,Miss JM Chegwidden,Labour,17662,36.61%,,,,
,,JDF Martyn,Liberal Democrat,4636,9.61%,,,,
,,KM Hagenbach,Green,618,1.28%,,,,
,,P Levy,Natural Law,139,0.29%,,,,
,,,,,,,,,
Ravensbourne,*,Sir JL Hunt,Conservative,29506,63.43%,57285,19714,81.21%,Conservative Hold
,,PJH Booth,Liberal Democrat,9792,21.05%,,,,
,,EW Dyer,Labour,6182,13.29%,,,,
,,IJ Mouland,Green,617,1.33%,,,,
,,P White,Liberal,318,0.68%,,,,
,,JW Shepheard,Natural Law,105,0.23%,,,,
,,,,,,,,,
Reading East,*,Sir GF Vaughan,Conservative,29148,53.85%,72152,14555,75.02%,Conservative Hold
,,Ms. G Parker,Labour,14593,26.96%,,,,
,,DA Thair,Liberal Democrat,9528,17.60%,,,,
,,Ms. AM McCubbin,Green,861,1.59%,,,,
,,,,,,,,,
Reading West,*,Sir RAB Durant,Conservative,28048,52.94%,67938,13298,77.99%,Conservative Hold
,,PM Ruhemann,Labour,14750,27.84%,,,,
,,KH Lock,Liberal Democrat,9572,18.07%,,,,
,,PJ Unsworth,Green,613,1.16%,,,,
,,,,,,,,,
Redcar,*,Miss M Mowlam,Labour,27184,55.96%,62494,11577,77.74%,Labour Hold
,,R Goodwill,Conservative,15607,32.13%,,,,
,,CM Abbott,Liberal Democrat,5789,11.92%,,,,
,,,,,,,,,
Reigate,*,Sir GA Gardiner,Conservative,32220,57.08%,71876,17654,78.54%,Conservative Hold
,,B Newsome,Liberal Democrat,14566,25.80%,,,,
,,Mrs H Young,Labour,9150,16.21%,,,,
,,M Bilcliff,Independent Ind SD,513,0.91%,,,,
,,,,,,,,,
Renfrew West and Inverclyde,*,T Graham,Labour,17085,36.59%,58164,1744,80.27%,Labour Hold
,,Miss AM Goldie,Conservative,15341,32.86%,,,,
,,CM Campbell,Scottish National,9448,20.24%,,,,
,,A Nimmo,Liberal Democrat,4668,10.00%,,,,
,,DL Maltman,Natural Law,149,0.32%,,,,
,,,,,,,,,
Rhondda,*,AR Rogers,Labour,34243,74.55%,59955,28816,76.61%,Labour Hold
,,GR Davies,Plaid Cymru,5427,11.81%,,,,
,,JW Richards,Conservative,3588,7.81%,,,,
,,P Nicholls-Jones,Liberal Democrat,2431,5.29%,,,,
,,MW Fischer,Communist of Great Britain,245,0.53%,,,,
,,,,,,,,,
Ribble Valley,,NM Evans,Conservative,29178,52.36%,65552,6542,85.01%,Conservative Gain
,*,M Carr,Liberal Democrat,22636,40.62%,,,,
,,R Pickup,Labour,3649,6.55%,,,,
,,D Beesley,Raving Loony Green Giant,152,0.27%,,,,
,,Ms. NM Holmes,Natural Law,112,0.20%,,,,
,,,,,,,,,
Richmond (Yorkshire),*,WJ Hague,Conservative,40202,61.86%,82880,23504,78.42%,Conservative Hold
,,G Irwin,Liberal Democrat,16698,25.69%,,,,
,,RF Cranston,Labour,7523,11.58%,,,,
,,AM Barr,Independent,570,0.88%,,,,
,,,,,,,,,
Richmond and Barnes,*,JJ Hanley,Conservative,22894,50.73%,53138,3869,84.92%,Conservative Hold
,,Ms. JL Tonge,Liberal Democrat,19025,42.16%,,,,
,,JD Touhig,Labour,2632,5.83%,,,,
,,Mrs JSM Maciejowska,Green,376,0.83%,,,,
,,CH Cunningham,Natural Law,89,0.20%,,,,
,,R Meacock,Independent,62,0.14%,,,,
,,Mrs AKF Ellis-Jones,Anti-Federalist League,47,0.10%,,,,
,,,,,,,,,
Rochdale,,Miss E Lynne,Liberal Democrat,22776,42.84%,69522,1839,76.48%,Liberal Democrat Gain
,,AD Williams,Labour,20937,39.38%,,,,
,,DJ Goldie-Scot,Conservative,8626,16.22%,,,,
,,K Henderson,British National,620,1.17%,,,,
,,VJ Lucker,Natural Law,211,0.40%,,,,
,,,,,,,,,
Rochford,*,Dr. M Clark,Conservative,38967,61.08%,76869,26036,82.99%,Conservative Hold
,,N Harris,Liberal Democrat,12931,20.27%,,,,
,,D Quinn,Labour,10537,16.52%,,,,
,,Ms. L Farmer,Liberal,1362,2.13%,,,,
,,,,,,,,,
Romford,*,Sir MJ Neubert,Conservative,23834,56.58%,53981,11420,78.03%,Conservative Hold
,,Mrs E Gordon,Labour,12414,29.47%,,,,
,,Mrs PA Atherton,Liberal Democrat,5329,12.65%,,,,
,,FJ Gibson,Green,546,1.30%,,,,
,,,,,,,,,
Romsey and Waterside,*,MKB Colvin,Conservative,37375,54.39%,82628,15304,83.16%,Conservative Hold
,,G Dawson,Liberal Democrat,22071,32.12%,,,,
,,Ms. A Mawle,Labour,8688,12.64%,,,,
,,JCT Spottiswood,Green,577,0.84%,,,,
,,,,,,,,,
"Ross Skye and Inverness West",*,CP Kennedy,Liberal Democrat,17066,41.59%,55771,7630,73.58%,Liberal Democrat Gain
,,JW Gray,Conservative,9436,22.99%,,,,
,,RM Gibson,Scottish National,7618,18.56%,,,,
,,JT MacDonald,Labour,6275,15.29%,,,,
,,DM Jardine,Green,642,1.56%,,,,
,,,,,,,,,
Rossendale and Darwen,,Mrs J Anderson,Labour,28028,43.87%,76926,120,83.04%,Labour Gain
,*,DA Trippier,Conservative,27908,43.69%,,,,
,,K Connor,Liberal Democrat,7226,11.31%,,,,
,,JE Gaffney,Green,596,0.93%,,,,
,,PN Gorrod,Natural Law,125,0.20%,,,,
,,,,,,,,,
Rother Valley,*,KJ Barron,Labour,30977,60.48%,68304,17222,74.98%,Labour Hold
,,GTAW Horton,Conservative,13755,26.86%,,,,
,,KA Smith,Liberal Democrat,6483,12.66%,,,,
,,,,,,,,,
Rotherham,,J Boyce,Labour,27933,63.95%,60937,17561,71.68%,Labour Hold
,,SJD Yorke,Conservative,10372,23.75%,,,,
,,DB Wildgoose,Liberal Democrat,5375,12.31%,,,,
,,,,,,,,,
Roxburgh and Berwickshire,,AJ Kirkwood,Liberal Democrat,15852,46.91%,43572,4257,77.56%,Liberal Democrat Gain
,,Mrs CS Finlay-Maxwell,Conservative,11595,34.31%,,,,
,,MN Douglas,Scottish National,3437,10.17%,,,,
,,S Lambert,Labour,2909,8.61%,,,,
,,,,,,,,,
Rugby and Kenilworth,*,JF Pawsey,Conservative,34110,52.39%,77767,13248,83.72%,Conservative Hold
,,J Airey,Labour,20862,32.04%,,,,
,,JM Roodhouse,Liberal Democrat,9934,15.26%,,,,
,,SH Withers,Natural Law,202,0.31%,,,,
,,,,,,,,,
Ruislip-Northwood,*,JAD Wilkinson,Conservative,28097,63.34%,54033,19791,82.09%,Conservative Hold
,,Miss RM Brooks,Labour,8306,18.73%,,,,
,,H Davies,Liberal Democrat,7739,17.45%,,,,
,,MG Sheehan,Natural Law,214,0.48%,,,,
,,,,,,,,,
Rushcliffe,*,KH Clarke,Conservative,34448,54.40%,76284,19766,83.01%,Conservative Hold
,,AD Chewings,Labour,14682,23.18%,,,,
,,Dr. AM Wood,Liberal Democrat,12660,19.99%,,,,
,,SR Anthony,Green,775,1.22%,,,,
,,M Maelor-Jones,Independent Conservative,611,0.96%,,,,
,,D Richards,Natural Law,150,0.24%,,,,
,,,,,,,,,
Rutland and Melton,,AJC Duncan,Conservative,38603,58.98%,80975,25535,80.83%,Conservative Hold
,,Mrs J Taylor,Labour,13068,19.97%,,,,
,,RE Lustig,Liberal Democrat,12682,19.38%,,,,
,,JM Berreen,Green,861,1.32%,,,,
,,R Gray,Natural Law,237,0.36%,,,,
,,,,,,,,,
Ryedale,*,JR Greenway,Conservative,39888,56.06%,87063,18439,81.72%,Conservative Hold
,,Mrs EL Shields,Liberal Democrat,21449,30.15%,,,,
,,J Healy,Labour,9812,13.79%,,,,
,,,,,,,,,
Saffron Walden,*,AGB Haselhurst,Conservative,35272,56.60%,74940,17424,83.15%,Conservative Hold
,,MP Hayes,Liberal Democrat,17848,28.64%,,,,
,,J Kotz,Labour,8933,14.34%,,,,
,,MD Miller,Natural Law,260,0.42%,,,,
,,,,,,,,,
Salford East,*,S Orme,Labour,20327,60.02%,52616,11235,64.37%,Labour Hold
,,DA Berens,Conservative,9092,26.85%,,,,
,,NJ Owen,Liberal Democrat,3836,11.33%,,,,
,,MT Stanley,Green,463,1.37%,,,,
,,CCB Craig,Natural Law,150,0.44%,,,,
,,,,,,,,,
Salisbury,*,SR Key,Conservative,31546,52.01%,75917,8973,79.90%,Conservative Hold
,,PWL Sample,Liberal Democrat,22573,37.22%,,,,
,,SR Fear,Labour,5483,9.04%,,,,
,,Dr. SM Elcock,Green,609,1.00%,,,,
,,SW Fletcher,Independent,233,0.38%,,,,
,,TI Abbott,Independent,117,0.19%,,,,
,,Ms. A Martell,Natural Law,93,0.15%,,,,
,,,,,,,,,
Scarborough,,JD Sykes,Conservative,29334,49.77%,76364,11734,77.19%,Conservative Hold
,,DL Billing,Labour,17600,29.86%,,,,
,,AB Davenport,Liberal Democrat,11133,18.89%,,,,
,,Dr. RC Richardson,Green,876,1.49%,,,,
,,,,,,,,,
Sedgefield,*,ACL Blair,Labour,28453,60.50%,61029,14859,77.06%,Labour Hold
,,NMF Jopling,Conservative,13594,28.91%,,,,
,,JG Huntington,Liberal Democrat,4982,10.59%,,,,
,,,,,,,,,
Selby,*,MJH Alison,Conservative,31067,50.21%,77180,9508,80.16%,Conservative Hold
,,JT Grogan,Labour,21559,34.85%,,,,
,,AE Batty,Liberal Democrat,9244,14.94%,,,,
,,,,,,,,,
Sevenoaks,*,GM Wolfson,Conservative,33245,57.52%,71092,19154,81.31%,Conservative Hold
,,RFC Walshe,Liberal Democrat,14091,24.38%,,,,
,,Ms. JS Evans,Labour,9470,16.38%,,,,
,,Ms. ME Lawrence,Green,786,1.36%,,,,
,,PL Wakeling,Natural Law,210,0.36%,,,,
,,,,,,,,,
Sheffield Attercliffe,,CJC Betts,Labour,28563,57.49%,69177,15480,71.82%,Labour Hold
,,GR Millward,Conservative,13083,26.33%,,,,
,,Mrs HE Woolley,Liberal Democrat,7283,14.66%,,,,
,,GD Ferguson,Green,751,1.51%,,,,
,,,,,,,,,
Sheffield Brightside,*,D Blunkett,Labour,29771,70.41%,63810,22681,66.27%,Labour Hold
,,TP Loughton,Conservative,7090,16.77%,,,,
,,RK Franklin,Liberal Democrat,5273,12.47%,,,,
,,DE Hyland,International Communist,150,0.35%,,,,
,,,,,,,,,
Sheffield Central,*,RG Caborn,Labour,22764,68.68%,59060,17294,56.12%,Labour Hold
,,VJE Davies,Conservative,5470,16.50%,,,,
,,AP Sangar,Liberal Democrat,3856,11.63%,,,,
,,GS Wroe,Green,750,2.26%,,,,
,,MC Clarke,Independent,212,0.64%,,,,
,,Miss J O'Brien,Communist League,92,0.28%,,,,
,,,,,,,,,
Sheffield Hallam,*,CI Patnick,Conservative,24693,45.52%,76585,6741,70.83%,Conservative Hold
,,PJ Gold,Liberal Democrat,17952,33.09%,,,,
,,Mrs VM Hardstaff,Labour,10930,20.15%,,,,
,,MA Baker,Green,473,0.87%,,,,
,,RE Hurford,Natural Law,101,0.19%,,,,
,,Ms. TM Clifford,Revolutionary Communist,99,0.18%,,,,
,,,,,,,,,
Sheffield Heeley,*,W Michie,Labour,28005,55.67%,70953,14954,70.90%,Labour Hold
,,DR Beck,Conservative,13051,25.94%,,,,
,,P Moore,Liberal Democrat,9247,18.38%,,,,
,,,,,,,,,
Sheffield Hillsborough,,Mrs HM Jackson,Labour,27563,46.17%,77343,7063,77.19%,Labour Hold
,,D Chadwick,Liberal Democrat,20500,34.34%,,,,
,,SC Cordle,Conservative,11640,19.50%,,,,
,,,,,,,,,
Sherwood,,SP Tipping,Labour,29788,47.50%,73355,2910,85.48%,Labour Gain
,*,AS Stewart,Conservative,26878,42.86%,,,,
,,JW Howard,Liberal Democrat,6039,9.63%,,,,
,,,,,,,,,
Shipley,*,Sir JM Fox,Conservative,28463,50.37%,68827,12382,82.11%,Conservative Hold
,,Ms. AE Lockwood,Labour,16081,28.46%,,,,
,,JMC Cole,Liberal Democrat,11288,19.97%,,,,
,,Dr. CM Harris,Green,680,1.20%,,,,
,,,,,,,,,
Shoreham,,BML Stephen,Conservative,32670,56.49%,71252,14286,81.17%,Conservative Hold
,,M King,Liberal Democrat,18384,31.79%,,,,
,,P Godwin,Labour,6123,10.59%,,,,
,,W Weights,Liberal,459,0.79%,,,,
,,JI Dreben,Natural Law,200,0.35%,,,,
,,,,,,,,,
Shrewsbury and Atcham,*,DL Conway,Conservative,26681,45.82%,70636,10965,82.44%,Conservative Hold
,,KA Hemsley,Liberal Democrat,15716,26.99%,,,,
,,Mrs E Owen,Labour,15157,26.03%,,,,
,,GA Hardy,Green,677,1.16%,,,,
,,,,,,,,,
Shropshire North,*,WJ Biffen,Conservative,32443,50.51%,82676,16211,77.68%,Conservative Hold
,,HJ Stevens,Liberal Democrat,16232,25.27%,,,,
,,RJ Hawkins,Labour,15550,24.21%,,,,
,,,,,,,,,
Skipton and Ripon,*,DM Curry,Conservative,35937,58.41%,75629,19330,81.35%,Conservative Hold
,,R Hall,Liberal Democrat,16607,26.99%,,,,
,,Ms. KR Allott,Labour,8978,14.59%,,,,
,,,,,,,,,
Slough,*,JA Watts,Conservative,25793,44.61%,74103,514,78.02%,Conservative Hold
,,EA Lopez,Labour,25279,43.72%,,,,
,,PGD Mapp,Liberal Democrat,4041,6.99%,,,,
,,JS Clark,Liberal,1426,2.47%,,,,
,,D Alford,Independent Labour,699,1.21%,,,,
,,A Carmichael,National Front,290,0.50%,,,,
,,MR Creese,Natural Law,153,0.26%,,,,
,,Miss EA Smith,Independent,134,0.23%,,,,
,,,,,,,,,
Solihull,*,JM Taylor,Conservative,38385,60.84%,77332,25146,81.59%,Conservative Hold
,,MJ Southcombe,Liberal Democrat,13239,20.98%,,,,
,,Mrs N Kutapan,Labour,10544,16.71%,,,,
,,CG Hards,Green,925,1.47%,,,,
,,,,,,,,,
Somerton and Frome,,MNF Robinson,Conservative,28052,47.51%,71358,4341,82.75%,Conservative Hold
,,DWS Heath,Liberal Democrat,23711,40.16%,,,,
,,R Ashford,Labour,6154,10.42%,,,,
,,Ms. LA Graham,Green,742,1.26%,,,,
,,Ms. J Pollock,Liberal,388,0.66%,,,,
,,,,,,,,,
South Hams,*,AD Steen,Conservative,35951,53.38%,83140,13711,81.01%,Conservative Hold
,,RV Evans,Liberal Democrat,22240,33.02%,,,,
,,Ms. E Cohen,Labour,8091,12.01%,,,,
,,CG Titmuss,Green,846,1.26%,,,,
,,Mrs LJ Somerville,Natural Law,227,0.34%,,,,
,,,,,,,,,
South Ribble,*,RJ Atkins,Conservative,30828,47.52%,78171,5973,83.00%,Conservative Hold
,,Dr. GWT Smith,Labour,24855,38.31%,,,,
,,SN Jones,Liberal Democrat,8928,13.76%,,,,
,,Dr. RD Decter,Natural Law,269,0.41%,,,,
,,,,,,,,,
South Shields,*,DG Clark,Labour,24876,59.77%,59392,13477,70.08%,Labour Hold
,,JL Howard,Conservative,11399,27.39%,,,,
,,A Preece,Liberal Democrat,5344,12.84%,,,,
,,,,,,,,,
Southampton Itchen,,JY Denham,Labour,24402,43.99%,72105,551,76.94%,Labour Gain
,*,CR Chope,Conservative,23851,42.99%,,,,
,,JRT Hodgson,Liberal Democrat,7221,13.02%,,,,
,,,,,,,,,
Southampton Test,*,SJA Hill,Conservative,24504,43.41%,72932,585,77.40%,Conservative Hold
,,APV Whitehead,Labour,23919,42.37%,,,,
,,Mrs DM Maddock,Liberal Democrat,7391,13.09%,,,,
,,JM Michaelis,Green,535,0.95%,,,,
,,D Plummer,Natural Law,101,0.18%,,,,
,,,,,,,,,
Southend East,*,Sir EM Taylor,Conservative,24591,58.76%,56709,13111,73.80%,Conservative Hold
,,GJ Bramley,Labour,11480,27.43%,,,,
,,Mrs J Horne,Liberal Democrat,5107,12.20%,,,,
,,BT Lynch,Liberal,673,1.61%,,,,
,,,,,,,,,
Southend West,*,HPG Channon,Conservative,27319,54.69%,64199,11902,77.80%,Conservative Hold
,,Mrs NJ Stimson,Liberal Democrat,15417,30.87%,,,,
,,GP Viney,Labour,6139,12.29%,,,,
,,AJ Farmer,Liberal,495,0.99%,,,,
,,CR Keene,Green,451,0.90%,,,,
,,PN Warburton,Natural Law,127,0.25%,,,,
,,,,,,,,,
Southport,,MRW Banks,Conservative,26081,47.04%,71444,3063,77.60%,Conservative Gain
,*,RC Fearn,Liberal Democrat,23018,41.52%,,,,
,,J King,Labour,5637,10.17%,,,,
,,JRG Walker,Green,545,0.98%,,,,
,,G Clements,Natural Law,159,0.29%,,,,
,,,,,,,,,
Southwark and Bermondsey,*,SHW Hughes,Liberal Democrat,21459,56.87%,60564,9845,62.30%,Liberal Democrat Gain
,,RA Balfe,Labour/Co-operative,11614,30.78%,,,,
,,AJ Raca,Conservative,3794,10.05%,,,,
,,SJ Tyler,British National,530,1.40%,,,,
,,TS Blackham,National Front,168,0.45%,,,,
,,GH Barnett,Natural Law,113,0.30%,,,,
,,JB Grogan,Communist League,56,0.15%,,,,
,,,,,,,,,
Spelthorne,*,D Wilshire,Conservative,32627,58.55%,69344,19843,80.36%,Conservative Hold
,,Mrs AE Leedham,Labour,12784,22.94%,,,,
,,RDC Roberts,Liberal Democrat,9202,16.51%,,,,
,,Mrs JD Wassell,Green,580,1.04%,,,,
,,DJ Rea,Monster Raving Loony,338,0.61%,,,,
,,DA Ellis,Natural Law,195,0.35%,,,,
,,,,,,,,,
St. Albans,*,PB Lilley,Conservative,32709,52.82%,74189,16404,83.47%,Conservative Hold
,,Mrs M Howes,Liberal Democrat,16305,26.33%,,,,
,,KP Pollard,Labour,12016,19.40%,,,,
,,C Simmons,Green,734,1.19%,,,,
,,DJ Lucas,Natural Law,161,0.26%,,,,
,,,,,,,,,
St. Helens North,*,J Evans,Labour,31930,57.92%,71262,16244,77.36%,Labour Hold
,,BJ Anderson,Conservative,15686,28.45%,,,,
,,J Beirne,Liberal Democrat,7224,13.10%,,,,
,,Mrs AM Lynch,Natural Law,287,0.52%,,,,
,,,,,,,,,
St. Helens South,*,GE Bermingham,Labour,30391,61.02%,67521,18209,73.76%,Labour Hold
,,Mrs PM Buzzard,Conservative,12182,24.46%,,,,
,,BT Spencer,Liberal Democrat,6933,13.92%,,,,
,,Ms. HS Jump,Natural Law,295,0.59%,,,,
,,,,,,,,,
St. Ives,*,DA Harris,Conservative,24528,42.93%,71154,1645,80.29%,Conservative Hold
,,AH George,Liberal Democrat,22883,40.05%,,,,
,,S Warran,Labour,9144,16.01%,,,,
,,Dr. FG Stephens,Liberal,577,1.01%,,,,
,,,,,,,,,
Stafford,*,WNP Cash,Conservative,30876,49.87%,74668,10900,82.91%,Conservative Hold
,,DN Kidney,Labour,19976,32.27%,,,,
,,JMG Calder,Liberal Democrat,10702,17.29%,,,,
,,CA Peat,Independent,178,0.29%,,,,
,,PDM Lines,Natural Law,176,0.28%,,,,
,,,,,,,,,
Staffordshire Mid,,MLD Fabricant,Conservative,31227,49.68%,73435,6236,85.60%,Conservative Hold
,*,Mrs SL Heal,Labour,24991,39.76%,,,,
,,BJ Stamp,Liberal Democrat,6402,10.18%,,,,
,,Ms. D Grice,Natural Law,239,0.38%,,,,
,,,,,,,,,
Staffordshire Moorlands,*,DL Knox,Conservative,29240,46.58%,75037,7410,83.66%,Conservative Hold
